Date,Open,High,Low,Close,Adj Close,Volume
2014-07-21,42.119999,42.570000,40.610001,41.000000,34.854130,85510800
2014-07-28,40.990002,41.000000,39.060001,39.290001,33.400471,71920300
2014-08-04,39.410000,40.009998,39.099998,39.450001,33.536488,68254000
2014-08-11,39.520000,41.150002,39.520000,40.880001,34.752136,67162600
2014-08-18,40.790001,41.689999,40.790001,41.119999,34.956161,55130000
2014-08-25,41.320000,41.750000,41.119999,41.720001,35.466221,43752000
2014-09-01,41.520000,42.169998,41.310001,41.840000,35.568222,47986900
2014-09-08,41.669998,42.189999,41.360001,41.459999,35.245193,71129000
2014-09-15,41.450001,42.349998,41.180000,42.049999,36.007172,104332300
2014-09-22,41.849998,42.340000,41.709999,42.200001,36.135624,56326200
2014-09-29,41.900002,43.070000,41.880001,43.000000,36.820652,96154000
2014-10-06,43.029999,44.869999,42.970001,44.470001,38.079407,122330400
2014-10-13,44.279999,44.630001,42.310001,42.880001,36.717896,109946400
2014-10-20,42.750000,43.470001,40.099998,41.029999,35.133751,138072300
2014-10-27,40.700001,41.889999,40.509998,41.880001,35.861599,98416300
2014-11-03,41.790001,42.619999,41.590000,42.320000,36.238369,67345300
2014-11-10,42.250000,43.080002,42.090000,42.730000,36.589455,53368600
2014-11-17,42.750000,44.740002,42.730000,44.500000,38.105099,90057400
2014-11-24,44.509998,45.000000,43.970001,44.830002,38.387669,43333700
2014-12-01,44.180000,44.770000,43.200001,43.529999,37.532139,61506900
2014-12-08,43.509998,43.630001,40.869999,40.910000,35.273132,91474900
2014-12-15,41.130001,42.790001,39.799999,41.950001,36.169838,109118000
2014-12-22,42.139999,43.299999,42.090000,42.959999,37.040672,37475000
2014-12-29,42.799999,43.060001,41.799999,42.139999,36.333668,37207100
2015-01-05,42.689999,43.570000,42.080002,43.029999,37.101040,91079500
2015-01-12,43.070000,43.240002,42.070000,42.529999,36.669922,63700900
2015-01-19,42.700001,43.830002,42.610001,43.310001,37.342453,54834700
2015-01-26,43.180000,43.230000,41.110001,41.169998,35.497307,73556000
2015-02-02,41.209999,42.090000,40.900002,41.450001,35.738731,68235500
2015-02-09,41.380001,43.029999,41.040001,41.990002,36.204327,90661900
2015-02-16,41.810001,42.240002,41.470001,41.970001,36.187088,55154700
2015-02-23,41.709999,43.660000,41.689999,43.299999,37.333828,77595600
2015-03-02,43.299999,43.299999,41.330002,41.520000,35.799084,67217400
2015-03-09,41.529999,41.549999,39.610001,39.910000,34.410931,78439200
2015-03-16,40.000000,40.790001,39.799999,40.650002,35.339787,110814200
2015-03-23,40.639999,40.990002,39.970001,40.080002,34.844250,85101500
2015-03-30,40.110001,40.900002,39.939999,40.680000,35.365871,57810000
2015-04-06,40.770000,41.610001,40.590000,40.880001,35.539738,60002400
2015-04-13,40.970001,40.970001,40.099998,40.299999,35.035507,60466400
2015-04-20,40.419998,41.570000,40.410000,40.889999,35.548439,88616100
2015-04-27,41.000000,41.150002,40.279999,40.910000,35.565826,57139900
2015-05-04,40.880001,41.169998,40.389999,40.980000,35.626682,58812100
2015-05-11,40.980000,41.689999,40.520000,41.520000,36.096138,54121700
2015-05-18,41.490002,41.590000,41.040001,41.209999,35.826633,52729300
2015-05-25,41.119999,41.299999,40.740002,40.959999,35.609291,54081200
2015-06-01,41.360001,41.410000,40.080002,40.099998,34.861637,58837900
2015-06-08,40.099998,40.540001,39.840000,39.959999,34.739922,64605400
2015-06-15,39.830002,40.740002,39.570000,40.400002,35.412209,77645800
2015-06-22,40.509998,40.810001,40.000000,40.000000,35.061592,57079100
2015-06-29,39.799999,39.980000,39.119999,39.490002,34.614563,50275400
2015-07-06,39.320000,40.580002,39.220001,40.389999,35.403439,68723700
2015-07-13,40.560001,41.599998,40.490002,41.250000,36.157276,60729300
2015-07-20,41.349998,41.590000,40.410000,40.439999,35.447273,63641300
2015-07-27,40.279999,41.220001,40.160000,41.080002,36.008259,54852400
2015-08-03,40.849998,42.250000,40.840000,41.770000,36.613060,69827300
2015-08-10,41.889999,41.990002,40.849998,41.250000,36.157276,50534700
2015-08-17,41.029999,41.529999,39.509998,39.529999,34.649616,77522900
2015-08-24,37.990002,39.470001,36.560001,39.450001,34.579491,132327800
2015-08-31,39.150002,39.450001,38.380001,38.520000,33.764317,79193400
2015-09-07,38.869999,39.209999,37.840000,38.130001,33.422466,55793300
2015-09-14,38.220001,39.610001,37.849998,38.980000,34.463535,92963000
2015-09-21,39.049999,40.080002,38.509998,39.619999,35.029377,78764900
2015-09-28,39.520000,40.470001,39.330002,40.389999,35.710167,88386500
2015-10-05,40.450001,42.119999,40.430000,42.020000,37.151302,70464500
2015-10-12,41.830002,42.290001,41.540001,42.020000,37.151302,71568500
